Supply 02/09/2022,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,
Renewables,2539,2557,2540,2534,2527,2516,2503,2477,2474,2476,2477,2480,2466,2472,2492,2490,2476,2477,2477,2488,2481,2482,2487,2508,2529,2551,2578,2595,2631,2676,2696,2730,2776,2808,2823,2834,2850,2858,2866,2878,2884,2887,2907,2886,2915,2997,3011,3036,3040,3055,3079,3086,3081,3069,3075,3076,3102,3153,3200,3216,3203,3174,3147,3147,3150,3166,3196,3220,3239,3245,3239,3242,3265,3303,3311,3308,3283,3251,3264,3306,3385,3474,3585,3709,3893,4164,4429,4731,5130,5634,6143,6656,7207,7757,8422,9120,9750,10427,11041,11643,12152,12636,13012,13325,13551,13746,13922,14052,14225,14404,14571,14700,14779,14886,14994,15081,15040,15075,15143,15184,15228,15205,15188,15165,15135,15085,15061,15062,15003,14934,14866,14793,14727,14525,14419,14409,14382,14377,14355,14363,14373,14377,14395,14330,14360,14399,14385,14364,14361,14358,14395,14403,14386,14423,14431,14363,14332,14295,14296,14282,14312,14393,14415,14351,14295,14314,14390,14448,14420,14425,14377,14314,14280,14299,14205,14122,14114,13973,13566,13472,13526,13405,13144,12847,12545,12352,12371,12200,11811,11110,10659,10241,9791,9238,8791,8378,7861,7327,6752,
Natural gas,7545,7564,7507,7413,7373,7297,7255,7275,7240,7236,7234,7229,7316,7314,7320,7287,7160,7148,7124,7046,6970,6984,6943,6898,6850,6720,6642,6576,6416,6309,6243,6289,6305,6237,6192,6151,6124,6235,6325,6405,6377,6306,6260,6262,6267,6259,6257,6167,6066,5967,5798,5747,5777,5859,5904,5974,6040,6071,6097,6100,6120,6157,6138,6151,6227,6362,6462,6584,6737,6816,6910,6971,7095,7013,6888,6829,6936,6970,6976,7153,7165,7255,7314,7379,7430,7445,7307,7259,7179,7017,6793,6377,6047,5676,5429,5558,5524,5117,4606,4203,3777,3495,3631,3720,3800,3844,3858,3916,3939,3682,3605,3585,3530,3558,3519,3500,3528,3407,3633,3754,3813,3862,4030,3876,3807,3748,3734,3740,3709,3678,3676,3620,3524,3638,3606,3645,3690,3693,3639,3676,3728,3703,3669,3923,3923,3850,3860,3926,4105,4063,4009,4030,3959,3951,3937,3882,3885,3991,4053,4036,3908,3776,3698,3670,3576,3472,3403,3427,3356,3341,3450,3474,3408,3386,3352,3365,3427,3525,3571,3523,3616,3752,3810,3822,3760,3826,3783,4123,4548,4666,4710,4935,5263,5780,6016,6103,6300,6571,6783
Large hydro,1012,1060,1068,1066,1068,1059,1059,1071,1071,1065,1061,1035,1002,925,876,888,890,891,875,867,859,907,916,919,953,957,963,966,970,996,1007,987,981,980,982,977,970,954,952,953,957,963,957,956,955,954,956,975,1008,1047,1078,1078,1077,1081,1073,1064,1082,1072,1054,1075,1203,1371,1431,1431,1413,1392,1399,1386,1401,1394,1410,1445,1575,1730,1910,1946,1992,2002,2022,2016,2027,2012,1999,2010,1949,1757,1718,1707,1695,1646,1580,1561,1557,1537,1538,1521,1354,1066,937,884,864,882,874,801,809,811,840,853,857,791,655,628,665,654,654,654,654,611,561,582,598,569,615,630,633,599,582,550,574,608,677,687,661,687,690,691,664,658,668,651,657,662,671,693,718,669,637,631,643,650,633,645,654,655,657,683,680,663,669,727,712,663,628,655,687,652,652,653,688,659,644,686,700,687,691,705,688,692,773,793,662,682,760,871,966,965,865,760,770,840,905,914,813,922,1014,1011,1011,1062,1165
Imports,8465,8601,8709,8700,8777,8810,8837,8797,8740,8683,8628,8580,8521,8374,8358,8339,8387,8343,8352,8362,8387,8321,8307,8306,8266,8372,8481,8517,8611,8649,8662,8639,8606,8639,8650,8680,8716,8800,8828,8904,8952,8971,8933,8892,8837,8873,8881,8861,8917,9051,9213,9302,9380,9374,9375,9409,9421,9424,9420,9476,9602,9579,9649,9821,9838,9864,9849,9831,9778,9799,9795,9816,9773,9894,10036,10180,10262,10276,10283,10236,10276,10249,10268,10209,10014,9992,9945,9804,9620,9484,9376,9287,9034,8759,8438,8083,7515,7334,7038,6638,6417,6125,5923,5660,5389,5079,4860,4584,4258,4049,3940,3837,3819,3598,3400,3314,3229,3192,3212,3158,3088,3187,3285,3277,3226,3221,3216,3230,3297,3249,3175,3125,3277,3449,3521,3495,3505,3507,3507,3498,3464,3352,3321,3385,3235,3206,3255,3138,3174,3165,3077,2961,2955,2946,2954,2964,3027,3179,3216,3213,3178,3074,3060,3127,3193,3172,3177,3115,3156,3419,3542,3634,3797,3746,3774,3757,3802,4016,4381,4569,4639,4690,5017,5087,5190,5128,5203,5428,5772,5958,6093,6346,6687,7048,7331,7765,8193,8361,8634
Batteries,-25,-120,-145,-88,-155,-162,-236,-192,-186,-173,-177,-194,-198,-136,-120,-79,-106,-112,-112,-65,-107,-100,-95,-94,-91,-101,-107,-108,-77,-75,-73,-88,-91,-91,-91,-91,-91,-199,-219,-314,-302,-272,-242,-240,-233,-226,-213,-165,-157,-139,-90,-99,-113,-116,-105,-115,-106,-105,-106,-106,-206,-112,-83,-74,-76,-67,-55,11,9,12,34,51,72,245,304,309,354,461,488,480,520,484,442,406,438,654,672,601,541,316,236,222,227,180,82,-200,-181,-24,226,227,193,155,-134,-173,-252,-303,-341,-378,-359,-139,-132,-121,-195,-187,-187,-187,-187,-183,-353,-488,-525,-643,-670,-599,-565,-596,-623,-635,-633,-570,-595,-529,-580,-701,-709,-712,-735,-732,-762,-794,-818,-753,-809,-869,-874,-801,-840,-811,-941,-879,-923,-862,-860,-863,-842,-789,-821,-945,-910,-864,-795,-647,-592,-515,-447,-339,-302,-184,-190,-383,-391,-325,-318,-212,-144,-52,-97,-46,5,68,26,-105,-91,36,127,289,190,100,44,352,493,516,433,221,274,240,345,505,549
Nuclear,2257,2257,2257,2256,2256,2256,2257,2256,2256,2256,2256,2257,2257,2258,2257,2257,2257,2258,2259,2259,2260,2260,2260,2259,2260,2259,2259,2260,2259,2259,2260,2260,2260,2260,2259,2259,2259,2259,2259,2259,2259,2259,2259,2259,2259,2258,2259,2257,2258,2257,2257,2257,2256,2256,2256,2256,2257,2256,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2258,2257,2257,2257,2256,2257,2256,2257,2256,2256,2255,2255,2255,2255,2255,2256,2254,2254,2253,2253,2254,2253,2253,2253,2253,2253,2253,2252,2251,2252,2251,2251,2252,2252,2251,2252,2252,2252,2252,2253,2252,2252,2251,2252,2252,2252,2252,2252,2253,2252,2252,2251,2252,2252,2252,2251,2251,2251,2250,2250,2251,2250,2251,2252,2250,2251,2251,2251,2250,2250,2250,2250,2250,2250,2250,2250,2250,2248,2251,2250,2250,2252,2250,2251,2250,2251,2251,2252,2252,2251,2251,2252,2253,2252,2251,2251,2252,2252,2252,2252,2252,2252,2252,2252,2253,2253,2253,2254,2253,2253,2253,2254,2253,2253,2253,2252,2252,2252,2252,2252,2253,2252,2252,2253,2253,2252,2252,2252,2253,2254
Coal,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,19,19,19,19,19,18,19,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,17,18,18,18,18,18,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,18,19,18,18,18,18,18,18,18,17,17,18,18,18,18,18,17,18,18,18,19,19,19,19,19,19,19,18,18,18,18,17,17,18,17,17,17,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,19,19,18,18,18,18,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,17,18,17,17,17,18,18,18,18,18,17,17,17,18,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
